2018-09-05 01:07:43  [ Thread-0:0 ] - [ INFO ]  Create a instance for Model Controller class, Successful.
2018-09-05 01:08:09  [ main:26029 ] - [ INFO ]  Create a instance for ServerController class, Successful.
2018-09-05 01:08:12  [ Thread-0:1 ] - [ INFO ]  Create a instance for Model Controller class, Successful.
2018-09-05 01:08:12  [ main:9 ] - [ INFO ]  Create a instance for ServerController class, Successful.
2018-09-05 01:08:25  [ Thread-0:0 ] - [ INFO ]  Create a instance for Model Controller class, Successful.
2018-09-05 01:08:25  [ main:5 ] - [ INFO ]  Create a instance for ServerController class, Successful.
2018-09-05 01:08:41  [ Thread-0:0 ] - [ INFO ]  Create a instance for Model Controller class, Successful.
2018-09-05 01:08:56  [ main:14989 ] - [ INFO ]  Create a instance for ServerController class, Successful.
2018-09-05 01:09:01  [ Thread-0:1 ] - [ INFO ]  Create a instance for Model Controller class, Successful.
2018-09-05 01:09:29  [ main:28072 ] - [ INFO ]  Create a instance for ServerController class, Successful.
2018-09-05 01:11:16  [ Thread-0:0 ] - [ INFO ]  Create a instance for Model Controller class, Successful.
2018-09-05 01:11:16  [ main:9 ] - [ INFO ]  Create a instance for ServerController class, Successful.
2018-09-05 01:11:47  [ Thread-0:0 ] - [ INFO ]  Create a instance for Model Controller class, Successful.
2018-09-05 01:12:07  [ main:20168 ] - [ INFO ]  Create a instance for ServerController class, Successful.
2018-09-05 01:13:02  [ Thread-0:0 ] - [ INFO ]  Create a instance for Model Controller class, Successful.
2018-09-05 01:13:20  [ main:17553 ] - [ INFO ]  Create a instance for ServerController class, Successful.
